cdate,treatment,revenue_total,revenue_outerwear,revenue_shoes,revenue_pants,dau
2022-03-05,0,522244.99870603974,224476.8396684586,166447.5632888399,131320.5957487412,100315
2022-03-06,0,520300.2200812353,223905.30175405543,165494.6962857869,130900.2220413929,101327
2022-03-07,0,519748.76362417126,220129.2802912758,169153.22461662063,130466.25871627485,101605
2022-03-08,0,527433.2517272603,228312.5709060701,169148.4467282806,129972.23409290961,100898
2022-03-09,0,521574.73090205074,222055.59733169174,167358.0906896715,132161.04288068754,101442
2022-03-10,0,514535.2622030268,220929.45952393263,162527.35801687554,131078.44466221862,101127
2022-03-11,0,521816.2421699991,225284.36682715573,167395.08057315025,129136.79476969312,100629
2022-03-12,0,528395.4406933142,229151.15001986737,168642.2850818329,130602.00559161392,101138
2022-03-13,0,529519.7404547668,228242.0566560127,169476.24447097315,131801.439327781,101732
2022-03-14,0,521466.5269347628,225048.63807163175,169972.2878277442,126445.60103538685,100949
2022-03-15,0,525890.4388234313,226733.07692615854,166573.4043672347,132583.95753003797,101754
2022-03-16,0,517238.8345542562,223086.58413454698,166950.95040129538,127201.3000184138,99666
2022-03-17,0,525851.9534315139,226359.2282646856,170569.7563261957,128922.96884063259,101391
2022-03-18,0,516192.01384887303,224686.80239418082,164088.00444057418,127417.20701411802,101027
2022-03-19,0,518944.27774994134,223963.297876104,168005.6353981867,126975.34447565056,100837
2022-03-20,0,518785.68810256134,224035.61063260795,166660.83677121924,128089.24069873412,101035
2022-03-21,0,514681.69197529706,220588.19163690502,165956.2271269294,128137.27321146267,99998
2022-03-22,0,525989.213472624,223315.51507200164,168148.91172254024,134524.7866780821,100884
2022-03-23,0,517912.6483680673,221079.1144438703,166919.09712728183,129914.43679691518,101174
2022-03-24,0,524785.9692393342,225399.92822352023,167389.84187639251,131996.19913942143,101736
2022-03-25,0,520196.4336195565,221632.41952175953,167318.47407595004,131245.5400218469,100739
2022-03-26,0,516518.98786123225,221120.8306838559,164863.7952311439,130534.36194623249,100595
2022-03-27,0,519401.15325867943,223999.61716911133,165099.96070214003,130301.57538742808,100748
2022-03-28,0,526461.932821901,227847.06377156492,169697.38676864153,128917.48228169457,101457
2022-03-29,0,525782.428254144,226318.33251836718,165604.7862629371,133859.30947283978,101164
2022-03-30,0,523134.69463375467,220484.74714877593,168592.93793668516,134057.00954829357,100734
2022-03-31,0,519365.4259531253,222691.94941661475,168969.63826422364,127703.83827228687,101255
2022-04-01,0,519186.41760389705,226135.61320077715,164280.18886523964,128770.61553788025,101045
2022-04-02,0,520975.33892208245,223161.3686668016,167031.22340947072,130782.74684581012,101480
2022-04-03,0,520931.6472809639,223002.75714528616,169519.32559272024,128409.56454295752,100642
2022-04-04,0,521945.57016093814,224923.21504095948,165447.73349994366,131574.62162003497,100827
2022-04-05,0,517317.9087835465,221818.91695654334,166431.4176260668,129067.5742009363,100793
2022-04-06,0,524574.8098864822,222888.25992268816,167476.71353603463,134209.8364277594,100254
2022-04-07,0,524514.016808317,221762.76955590228,169435.44266254973,133315.80458986503,101131
2022-04-08,0,521856.5804353004,223184.8062300942,167334.35843480696,131337.41577039927,101110
2022-04-09,0,524016.4095918635,224761.23661618005,166444.3955092443,132810.77746643915,100978
2022-04-10,0,523805.98846740765,220685.22786384862,170297.8409903155,132822.91961324358,100854
2022-04-11,0,522369.4261134269,223559.1200128754,170037.79227431744,128772.51382623405,100259
2022-04-12,0,521735.91210470395,223619.26421212914,169254.80776158225,128861.84013099261,100751
2022-04-13,0,523039.84103551484,224827.304676414,167517.5345007298,130695.00185837105,100785
2022-04-14,0,521055.54138534644,223695.35546860495,165376.38206554827,131983.80385119325,100550
2022-04-15,0,523323.82207790774,226600.429931962,165802.7497082688,130920.64243767696,100865
2022-04-16,0,521413.13629629835,224668.64152286836,168920.60253147501,127823.892241955,101141
2022-04-17,0,525093.9399845209,225022.84876167699,169812.5185026808,130258.57272016321,101876
2022-04-18,0,525560.1130756553,224393.14853463712,170481.78016590123,130685.184375117,101013
2022-04-19,0,525055.0095502903,225297.4722770565,169029.05858706872,130728.47868616508,101048
2022-04-20,0,523035.78449834656,223954.35087248636,164459.28913168484,134622.1444941754,100875
2022-04-21,0,517033.9612015016,222069.00343457103,168170.85370759695,126794.10405933364,99945
2022-04-22,0,519632.57573467796,222450.46395687116,165474.06493446545,131708.04684334132,100883
2022-04-23,0,523061.85666656523,222588.71405675772,166750.69200165945,133722.45060814806,100918
2022-04-24,0,530013.2708527417,223484.8186713102,169804.20569637502,136724.24648505644,102111
2022-04-25,0,528163.0198720329,227104.14443715863,171285.03520815956,129773.84022671475,100774
2022-04-26,0,527304.2832291013,221581.67844129965,173865.65839803356,131856.94638976819,101012
2022-04-27,0,522713.304989889,222317.46467812496,168588.61656189492,131807.2237498691,100835
2022-04-28,0,517610.0915213863,221099.7910406042,166137.85653197713,130372.443948805,100258
2022-04-29,0,527057.1503081096,226605.24945601684,169286.57270835416,131165.32814373856,101404
2022-04-30,0,525471.9506711436,223799.76556289796,169677.9184486002,131994.26665964542,101198
2022-05-01,0,520232.721296694,226888.88698108247,167268.55538064707,126075.27893496444,101207
2022-05-02,0,522989.49535242305,221309.63797028374,170202.3356118868,131477.5217702525,100346
2022-05-03,0,526018.8309622273,225489.30731546515,168782.81838135043,131746.70526541173,101491
2022-05-04,0,516971.4041509542,220418.81312146276,167191.67123641525,129360.9197930762,100078
2022-05-05,0,532406.5420148848,228327.48741230043,168993.7886035095,135085.26599907482,101060
2022-05-06,0,523504.8870830308,223225.1733163907,169682.61789625997,130597.09587038013,101850
2022-05-07,0,520331.26256773254,222998.6971670792,168106.58254884047,129225.98285181292,100248
2022-05-08,0,523773.27182487666,224026.80536749825,165484.7071810943,134261.75927628414,100447
2022-05-09,0,519294.0349174029,224210.561743852,166075.88009473603,129007.59307881484,100768
2022-05-10,0,516076.31995312247,222363.62221968183,164511.20620771128,129201.49152572938,100453
2022-05-11,0,517533.7497574116,221383.31827412752,166777.8122797561,129372.61920352798,99917
2022-05-12,0,524256.25096552796,223302.87914369412,168641.7451653931,132311.6266564407,100713
2022-05-13,0,519224.2282261509,221743.08949289084,167121.75061566106,130359.38811759902,100134
2022-05-14,0,524400.926064452,225452.23631278548,170676.7961183587,128271.89363330789,100888
2022-05-15,0,521695.9673983964,226504.46260257642,166242.00255088703,128949.50224493298,100178
2022-05-16,0,523069.7311983368,223386.93226941873,169410.84159653293,130271.9573323851,101398
2022-05-17,0,513410.7614454184,219378.3767530201,164108.40404622367,129923.98064617465,100217
2022-05-18,0,519380.79559503926,222351.0601619031,165831.3412435496,131198.39418958657,100433
2022-05-19,0,529441.8362226132,228770.2663210387,168815.64193397466,131855.92796759988,100986
2022-05-20,0,513695.3277967579,219906.3110285356,167556.59097648432,126232.425791738,99949
2022-05-21,0,525305.4594620517,226196.3028384011,166330.57146797108,132778.58515567952,100663
2022-05-22,0,526646.6250316843,227299.48399522188,167551.7275061438,131795.4135303186,101188
2022-05-23,0,514606.36484882515,219866.53074927285,162438.40502609068,132301.4290734616,99715
2022-05-24,0,521402.1130457106,223846.91774734284,166068.63037276326,131486.56492560447,100595
2022-05-25,0,527406.5508687167,225984.61655952927,168584.8050403484,132837.12926883902,100617
2022-05-26,0,522615.7897256095,222434.07491138528,168310.1163623485,131871.5984518757,100862
2022-05-27,0,519727.23810189107,220707.32020485552,166610.02711553022,132409.89078150532,99836
2022-05-28,0,516120.55598359124,219808.92128195157,165609.05821630647,130702.57648533318,99778
2022-05-29,0,518153.5967755846,220726.23179103973,166868.78230727167,130558.5826772732,100683
2022-05-30,0,521655.23376782244,221172.3206681193,165327.99304076377,135154.92005893937,100554
2022-05-31,0,520240.07177123375,219915.80259753426,167973.60992330193,132350.65925039753,100514
2022-06-01,0,521685.8049706436,222466.34290684998,167451.55946809443,131767.90259569915,100545
2022-06-02,0,513993.9007786556,219768.41650663898,166784.1588512961,127441.32542072058,100014
2022-06-03,0,515974.16388666903,222625.8247332285,165393.41051720316,127954.92863623732,100453
2022-06-04,0,512337.2435975348,219046.063371935,162146.5093169259,131144.6709086739,100467
2022-06-05,0,519832.87575557135,221746.93765400525,167851.07591957526,130234.86218199083,99945
2022-06-06,0,522118.55883199855,225269.28744804315,166595.035828458,130254.23555549739,101218
2022-06-07,0,513818.8037309895,218157.54950448542,164742.46892157252,130918.78530493159,100504
2022-06-08,0,520535.1239105301,221163.6733205805,166566.1620458977,132805.28854405193,99654
2022-06-09,0,522510.76356864144,224653.19495507854,165740.2414136372,132117.32719992573,100560
2022-06-10,0,512919.48653884657,218082.6384634094,167380.58530368112,127456.26277175604,99727
2022-06-11,0,523880.2501441408,225542.90495908377,167775.05835383196,130562.28683122506,100590
2022-06-12,0,520875.7958863788,223341.42352158728,168145.91183658538,129388.46052820614,100758
2022-06-13,0,510592.21248383966,219046.78228401084,162520.4860909021,129024.94410892676,99750
2022-06-14,0,521068.8269363746,222062.49311119976,168972.81219635214,130033.52162882271,100624
2022-06-15,0,518856.61050318484,222673.72480179885,166617.35921994963,129565.5264814363,100331
2022-06-16,0,515916.0598561836,222049.94562499656,165620.6498884801,128245.46434270698,100517
2022-06-17,0,522526.88167510275,223982.14461568696,167409.74407275073,131134.99298666502,101036
2022-06-18,0,509750.10970421357,218853.82697370625,161922.1815135874,128974.10121691992,99947
2022-06-19,0,510249.23735698644,220458.29094100138,165869.06924565995,123921.8771703251,99675
2022-06-20,0,513728.18055398343,217086.39894310254,162847.56400510855,133794.21760577234,99588
2022-06-21,0,513812.5043283468,219697.50791648755,162214.4465777043,131900.54983415498,99607
2022-06-22,0,510572.2319400142,218782.16030168426,162386.4906264525,129403.58101187737,99958
2022-06-23,0,517831.80349551677,219468.8247074251,167927.954329646,130435.02445844568,100149
2022-06-24,0,515635.16510188533,223277.88346455313,164352.37112982682,128004.91050750544,100098
2022-06-25,0,526578.7976641017,223470.0434699511,169048.63047114297,134060.1237230076,100355
2022-06-26,0,519845.49740461493,221623.34928348006,164256.8111084394,133965.33701269553,99930
2022-06-27,0,513882.0837544849,219592.03115127646,162951.40401561852,131338.64858758994,100632
2022-06-28,0,514191.65706290037,219357.36739362942,162802.24893388824,132032.0407353827,99755
2022-06-29,0,527150.922527869,225331.86144280696,169702.57600549667,132116.48507956535,101229
2022-06-30,0,514159.44287791115,221026.54593497075,165306.2935188131,127826.6034241273,100164
2022-07-01,0,515971.88939134043,223829.19175566448,163366.13964249275,128776.5579931832,99404
2022-07-02,0,514000.6567030062,219694.57362137781,164579.86739740596,129726.21568422239,99279
2022-07-03,0,516640.1677824252,220777.43634157928,166386.510577823,129476.22086302291,100038
2022-07-04,0,515561.33465980925,219000.51044708223,167045.8594475193,129514.96476520771,99667
2022-07-05,0,519447.2530236405,220755.2457530619,168369.1846362877,130322.82263429087,100118
2022-07-06,0,514595.36386346584,219874.67033557862,164530.28599412733,130190.40753375986,99980
2022-07-07,0,513251.5055619563,220983.30911154643,162147.38286523867,130120.81358517124,99690
2022-07-08,0,511408.9545895915,220638.02400415586,163349.72579813737,127421.20478729821,99285
2022-07-09,0,508272.9312480999,216418.22408850671,164155.42302981007,127699.28412978313,98934
2022-07-10,0,505988.8996151698,216327.3869153102,162466.0831474571,127195.42955240251,99450
2022-07-11,0,512466.0324434554,216555.16819084945,163416.57630418584,132494.28794842013,100085
2022-07-12,0,511960.74415557383,220533.37411240872,165494.77423462196,125932.59580854316,99746
2022-07-13,0,510925.50387948065,215784.5672542267,163574.26234915914,131566.67427609477,98999
2022-07-14,0,512676.8820387108,215039.5348260984,164761.5828926201,132875.76431999233,99692
2022-07-15,0,513183.5250041073,220268.60532333775,163297.47836031546,129617.44132045403,99781
2022-07-16,0,510752.14411840687,223143.70579312465,163362.21100007815,124246.22732520406,99130
2022-07-17,0,511179.45628815034,219119.96006824353,162714.15778326764,129345.33843663915,99633
2022-07-18,0,516751.73608357826,220647.62496929735,166230.70573537165,129873.40537890926,99568
2022-07-19,0,510706.21500445163,217870.9999261117,165582.07055366327,127253.14452467668,98952
2022-07-20,0,508988.3895542084,218946.42576805063,160905.54216923023,129136.42161692749,99686
2022-07-21,0,517318.8413447058,221123.39775064867,162853.33010522413,133342.11348883298,99772
2022-07-22,0,513153.42742903624,219163.92096728334,162072.320027705,131917.18643404788,100017
2022-07-23,0,512608.3845011878,220188.6751764769,163705.95499219006,128713.75433252081,99987
2022-07-24,0,506685.2383615874,217804.91147817197,162978.353656929,125901.97322648649,98756
2022-07-25,0,505445.009344021,216205.17464311037,160539.27307620336,128700.56162470722,98961
2022-07-26,0,513357.03375325387,220917.5037801294,162647.2897314622,129792.24024166228,99672
2022-07-27,0,512175.2931798179,218523.79635691215,162446.65708495557,131204.83973795018,99657
2022-07-28,0,511275.2779232472,217304.7649425743,164834.29026032743,129136.2227203455,99643
2022-07-29,0,523424.31471468776,223170.0662135038,167027.253984786,133226.99451639797,101298
2022-07-30,0,514009.5576913302,216961.1628980299,162949.0304484459,134099.3643448544,99643
2022-07-31,0,516649.14449206967,219321.7837015843,165134.72263879873,132192.63815168664,99911
2022-08-01,0,512880.7759930907,219010.7851482529,163518.43567947546,130351.55516536234,99807
2022-08-02,0,514544.78974460537,220842.7042140952,163807.8446752257,129894.24085528444,99642
2022-08-03,0,514499.5792282246,218598.49654661666,166939.56665246972,128961.51602913825,99145
2022-08-04,0,518341.8569447662,218619.5390026392,167046.74507187214,132675.5728702548,99669
2022-08-05,0,507445.5096902001,218721.93289133755,160586.97825762245,128136.59854124006,98891
2022-08-06,0,515363.63909275807,220349.94589679746,165215.58489693137,129798.10829902925,99146
2022-08-07,0,513006.36851392296,218386.61355404317,164962.55831822695,129657.19664165286,99010
2022-08-08,0,508131.7225631955,217807.5003658148,161437.55380091528,128886.66839646541,99281
2022-08-09,0,512845.83532813506,217347.2731931277,167017.12500856267,128481.43712644462,100386
2022-08-10,0,508257.068291526,213609.22541176536,165289.10117470456,129358.7417050561,98283
2022-08-11,0,509611.2725542841,217635.87505350666,161855.497664323,130119.89983645441,99549
2022-08-12,0,505052.154315676,214680.54441418088,160512.6178897075,129858.99201178765,98388
2022-08-13,0,510305.92365314846,216621.2510781484,165211.67297501542,128472.99959998459,98948
2022-08-14,0,516403.18345126626,218624.50667346953,164863.26130954013,132915.4154682566,99718
2022-08-15,0,511235.62243102584,218503.0013954267,164629.3418466693,128103.2791889298,99196
2022-08-16,0,512035.8590778863,216117.43084934005,163325.38806514617,132593.04016340015,98615
2022-08-17,0,507110.37848398613,217550.6550802351,163671.6272445462,125888.09615920486,98786
2022-08-18,0,510406.8616083754,218060.24216863027,161259.02599606384,131087.5934436813,99474
2022-08-19,0,507777.05147556146,212530.42707904615,164925.55317908328,130321.07121743202,98760
2022-08-20,0,509714.872655775,215511.1886641571,165857.76144749872,128345.92254411917,99225
2022-08-21,0,510483.52577123593,216892.62286054943,162909.1833113886,130681.71959929791,99131
2022-08-22,0,508735.0406253778,214026.79306935827,162736.1172682033,131972.1302878162,98774
2022-08-23,0,508898.4468794513,220405.87731144478,161836.68888770798,126655.88068029855,100164
2022-08-24,0,516688.1894027699,220723.81804228132,164775.47574470832,131188.89561578023,99402
2022-08-25,0,503884.0907970333,217406.60221714567,162876.87626096196,123600.61231892568,98065
2022-08-26,0,507952.4679305678,216721.42676037888,163248.41041456163,127982.63075562731,99164
2022-08-27,0,516879.20204511075,219249.47671925413,164966.76921674114,132662.9561091155,98733
2022-08-28,0,510367.95241475577,218049.55521896738,163168.4200413272,129149.9771544612,99484
2022-08-29,0,506100.5293968561,215404.73395450253,163716.04322794444,126979.75221440909,98656
2022-08-30,0,505879.44782733946,215501.28156735277,161039.50727440347,129338.65898558323,98989
2022-08-31,0,514437.73528231983,216714.82945022976,163480.48669120736,134242.41914088267,99293
2022-09-01,0,506977.05619419174,216879.6034230883,163435.890672415,126661.56209868846,99469
2022-09-02,0,505560.6417101582,215905.4892771678,162671.47899520802,126983.67343778237,98431
2022-09-03,0,511445.9210514569,216727.02117755302,162117.3315617601,132601.56831214373,98859
2022-09-04,0,511965.89129262394,216249.7031720131,162476.22326299243,133239.9648576184,98785
2022-09-05,0,510376.15572762187,216917.75168855305,164245.80898267825,129212.59505639054,98692
2022-09-06,0,512742.3509967489,220823.96302901837,163523.49780729396,128394.89016043658,99898
2022-09-07,0,513368.3206737774,218963.1092483542,160153.9514060884,134251.26001933482,99215
2022-09-08,0,510268.47112614143,212410.07520220627,165607.1225735763,132251.27335035888,98379
2022-09-09,0,510661.46176420734,212434.44283059967,166496.48397997764,131730.5349536301,99466
2022-09-10,0,512117.8563949653,220599.88665875726,162044.44537710544,129473.5243591026,100066
2022-09-11,0,510430.6528566331,214895.00276249787,165185.05711611453,130350.59297802074,99520
2022-09-12,0,504091.6257653386,214613.29791491825,160878.64032099134,128599.68752942904,98242
2022-09-13,0,507138.2206728934,213747.2299469063,163183.2920096993,130207.6987162878,98759
2022-09-14,0,512276.77780505933,214222.68444419335,164552.2745740108,133501.81878685518,99633
2022-09-15,0,510117.7275758197,216927.32528861414,162011.30204855924,131179.10023864635,98646
2022-09-16,0,508237.3883781412,218505.03284322107,161772.1617400071,127960.19379491304,99221
2022-09-17,0,511435.2146346222,216158.59540580737,162204.97188565237,133071.64734316248,99387
2022-09-18,0,500828.5719734858,210422.99894932593,160476.3178992823,129929.2551248776,98537
2022-09-19,0,507870.7171985506,215374.63808266906,161293.9931133455,131202.086002536,98971
2022-09-20,0,505363.5889913254,214067.35686151776,160438.00596225946,130858.22616754816,97382
2022-09-21,0,500383.2858231568,212541.12814606033,160804.35785736708,127037.79981972944,98492
2022-09-22,0,510476.79487705784,216637.45608076412,164180.78852259487,129658.55027369883,98880
2022-09-23,0,508366.3193771449,215244.4858158877,165046.27541513788,128075.55814611932,98384
2022-09-24,0,510129.85045693663,219316.64371947854,163075.5683015297,127737.6384359284,99827
2022-09-25,0,507497.22426035156,215338.76404012163,162422.16915363152,129736.29106659845,98299
2022-09-26,0,512503.82816154906,214147.59665142855,163689.71006489822,134666.52144522232,98797
2022-09-27,0,509444.5306188198,219063.5985087786,164068.1189490423,126312.81316099894,99086
2022-09-28,0,512657.5933691709,217670.70799473813,164265.09483748963,130721.79053694315,99745
2022-09-29,0,508862.51915870834,215065.06110589782,163448.41473722216,130349.04331558831,98311
2022-09-30,0,511627.4806258356,215861.62929013153,164884.7093943266,130881.14194137743,99615
2022-10-01,0,506011.4123368122,215698.68810352506,160588.34441990822,129724.3798133789,99043
2022-10-02,0,504667.4384288136,213835.32716925628,164067.2354658248,126764.8757937325,98552
2022-10-03,0,512619.04532685725,216717.3131065407,165197.55540290094,130704.17681741562,99280
2022-10-04,0,510522.6279226572,220237.48732171758,161709.74816431542,128575.39243662418,99154
2022-10-05,0,501251.8805767335,213287.7254093033,162725.3387872168,125238.81638021338,98761
2022-10-06,0,510439.2197685627,213490.45394907225,164530.55970355603,132418.2061159344,99102
2022-10-07,0,513321.1435985802,219222.55750729982,162417.00820930104,131681.57788197935,98881
2022-10-08,0,511928.7567129005,216380.7998300802,165370.6211868099,130177.33569601037,99138
2022-10-09,0,515276.84904093744,216029.12125558103,168377.73393155754,130869.9938537989,99419
2022-10-10,0,516305.5532626486,220393.48368991909,162787.1347449443,133124.93482778518,99889
2022-10-11,0,503537.3227426289,214301.43749460482,159495.428810165,129740.4564378591,98485
2022-10-12,0,521103.84140491555,222560.26740602116,165410.8589868891,133132.71501200533,100179
2022-10-13,0,507693.4481205203,216204.26256813164,163200.342305977,128288.8432464116,98145
2022-10-14,0,510961.93165223714,215699.33242025852,162664.27083036606,132598.32840161253,99054
2022-10-15,0,519434.0083320031,221757.09558931232,166606.6009445958,131070.31179809496,99433
2022-10-16,0,507409.1337093881,215952.95053698134,160812.73270539305,130643.45046701368,99289
2022-10-17,0,509178.0391030539,217775.04724896484,164218.9336886643,127184.05816542478,98847
2022-10-18,0,509845.35734806757,217334.49012688923,161953.31310843074,130557.55411274763,99064
2022-10-19,0,513659.74303455994,219087.00561299952,166412.51367320845,128160.22374835199,98932
2022-10-20,0,514952.2145304765,219542.73020181403,166908.79503099172,128500.68929767073,98894
2022-10-21,0,509474.95951965405,217958.46451779277,162494.2394315217,129022.25557033959,99625
2022-10-22,0,506746.65702887275,215928.9292915043,162582.0068183214,128235.7209190471,99389
2022-10-23,0,515982.5694216327,217343.57512987772,164638.643846782,134000.350444973,98876
2022-10-24,0,513445.0864099342,216698.61934854765,163365.330472052,133381.13658933455,99684
2022-10-25,0,519375.2407992828,221527.79352839512,163631.167885194,134216.27938569363,99400
2022-10-26,0,510739.31957951444,218317.60444813484,164177.43861523952,128244.27651614009,99664
2022-10-27,0,508085.03868179076,217171.94718767545,160177.75779070696,130735.33370340831,99585
2022-10-28,0,506925.19399037724,216856.54494189518,162924.6397076291,127144.00934085298,98869
2022-10-29,0,504420.1695560195,214104.05895105624,161802.83732844685,128513.27327651634,99016
2022-10-30,0,508278.91741728084,216206.7392796916,163206.2892218567,128865.8889157325,99683
2022-10-31,0,520578.5113338571,220458.9749357649,167007.3028319579,133112.2335661342,99628
2022-11-01,0,506793.61909713247,216157.05741632747,161162.7885404413,129473.77314036367,99325
2022-11-02,0,513498.6740875411,215562.23695537884,165437.23325251447,132499.20387964783,99408
2022-11-03,0,516376.4053764796,219939.08631285874,164156.1720386681,132281.14702495278,100003
2022-11-04,0,516770.81073629356,219415.41464248116,162784.104401798,134571.2916920144,99082
2022-11-05,0,513184.3663578433,219670.63666658755,165811.64446372664,127702.08522752905,99666
2022-11-06,0,516652.019067059,219526.04171656072,164382.5254873893,132743.45186310896,99306
2022-11-07,0,513444.10663184035,216056.05930996517,164865.91454055053,132522.13278132468,99313
2022-11-08,0,511862.5909759599,216094.21224885067,166682.56399157477,129085.81473553447,99986
2022-11-09,0,518532.69937102025,221721.15990264606,163914.3214891252,132897.21797924902,99865
2022-11-10,0,513054.18293422344,218114.2606859877,163378.44274572725,131561.47950250845,99874
2022-11-11,0,512387.8054676813,218805.54453270047,162838.3243393789,130743.93659560198,100136
2022-11-12,0,511957.6674282776,220733.6450396843,162430.24150450685,128793.78088408646,99509
2022-11-13,0,519835.9865355733,219908.21236991644,170512.91328942913,129414.86087622779,99856
