customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00012,Female,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,91.59,946.82,Yes
C00013,Female,0,No,No,20,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),80.92,1537.58,No
C00014,Male,0,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),84.87,3203.21,No
C00015,Male,1,No,No,46,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.91,4459.95,No
C00016,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.64,1574.43,Yes
C00017,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.72,1399.95,No
C00018,Female,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.21,3153.4,No
C00019,Female,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.55,2149.62,Yes
C00020,Female,1,No,No,1,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.47,72.58,Yes
C00021,Male,1,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.99,569.0,No
C00022,Female,0,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,85.14,527.86,Yes
C00023,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.62,182.38,Yes
C00024,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.25,69.48,Yes
C00025,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.29,274.67,Yes
C00026,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.47,5710.21,No
C00027,Male,0,No,No,6,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.33,375.92,Yes
C00028,Male,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,69.66,1438.78,No
C00029,Female,1,No,No,0,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.26, ,Yes
C00030,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,82.32,430.9,No
C00031,Female,0,No,No,44,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),44.77,1703.84,No
C00032,Male,0,Yes,Yes,45,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,72.43,2789.68,No
C00033,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.03,174.07,Yes
C00034,Male,0,No,No,15,Yes,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.71,1077.82,Yes
C00035,Male,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,424.82,No
C00036,Male,0,No,No,41,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),54.77,1995.45,No
C00037,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,78.82,3465.88,No
C00038,Male,1,No,No,72,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),52.82,3770.63,Yes
C00039,Female,1,Yes,Yes,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,83.74,3383.29,No
C00040,Male,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),101.71,189.99,No
C00041,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.64,145.13,Yes
C00042,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.47,1215.68,No
C00043,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.77,1820.56,No
C00044,Female,1,No,No,2,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.68,143.52,Yes
C00045,Female,1,Yes,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,54.57,Yes
C00046,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),72.81,4663.41,No
C00047,Male,0,No,No,31,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,65.38,2079.54,Yes
C00048,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,89.35,154.44,Yes
C00049,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,176.75,No
C00050,Male,1,Yes,No,53,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),47.5,2620.27,No
C00051,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,79.03,142.49,No
C00052,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,54.56,2669.16,No
C00053,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.25,7121.55,No
C00054,Female,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),86.16,2093.57,No
C00055,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,83.64,2048.02,No
C00056,Male,1,No,No,72,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),61.88,4018.97,No
C00057,Female,0,Yes,Yes,2,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),62.84,123.95,Yes
C00058,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,94.77,93.82,Yes
C00059,Male,0,Yes,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.89,4815.75,No
C00060,Female,0,Yes,No,7,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),68.34,417.26,No
C00061,Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,87.36,1005.21,No
C00062,Female,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,97.18,925.25,Yes
C00063,Female,0,Yes,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.59,1499.66,No
C00064,Female,0,Yes,Yes,34,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),71.76,2423.57,No
C00065,Female,0,No,No,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.37,303.62,No
C00066,Female,0,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.23,851.85,No
C00067,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),83.36,82.54,Yes
C00068,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.52,72.04,Yes
C00069,Male,0,No,No,1,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.07,74.85,No
C00070,Male,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,97.09,2178.69,No
C00071,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.77,1257.8,No
C00072,Female,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.85,920.32,Yes
C00073,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.31,1566.59,No
C00074,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.37, ,Yes
C00075,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),84.64,3715.31,No
C00076,Male,0,Yes,Yes,20,No,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),34.04,663.44,No
C00077,Female,1,Yes,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.35, ,Yes
C00078,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.68,618.78,Yes
C00079,Female,1,No,No,15,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,58.04,767.43,Yes
C00080,Female,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),84.1,730.43,Yes
C00081,Male,0,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,16.46,No
C00082,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,78.52,67.2,No
C00083,Male,0,Yes,No,56,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,80.66,3886.5,No
C00084,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,91.19,5881.38,No
C00085,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),79.23,4384.1,No
C00086,Female,0,Yes,No,72,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),47.12,3063.79,No
C00087,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.77,1201.72,No
C00088,Male,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,60.78, ,Yes
C00089,Male,0,Yes,Yes,37,Yes,No,DSL,,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,71.13,2452.86,No
C00090,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.51,1175.08,No
C00091,Female,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),55.96,146.15,Yes
C00092,Male,0,No,No,8,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,44.49,363.24,Yes
C00093,Male,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,75.34,554.48,No
C00094,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.12,1529.23,No
C00095,Female,0,Yes,Yes,0,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,66.33, ,Yes
C00096,Male,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,74.58,5049.48,No
C00097,Male,0,Yes,No,72,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,28.96,2121.48,No
C00098,Male,0,No,No,2,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,62.76,114.87,No
C00099,Female,0,No,No,4,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),56.79,231.56,No
C00100,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.72,90.05,No
C00101,Female,0,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,63.42,4059.05,No
C00102,Male,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),82.69,1866.62,No
C00103,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.56,176.39,Yes
C00104,Female,0,No,No,8,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.33,581.45,Yes
C00105,Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.28,87.89,Yes
C00106,Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,83.17,2211.29,No
C00107,Male,0,Yes,Yes,6,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),78.11,406.7,No
C00108,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.87,89.01,No
C00109,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.1,1675.86,No
C00110,Male,1,No,Yes,40,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),71.07,2577.51,No
C00111,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.15,1097.77,No
C00112,Male,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,98.69,2783.71,Yes
C00113,Female,0,Yes,No,44,Yes,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.18,822.26,No
C00114,Male,0,Yes,No,72,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),60.81,4506.98,No
C00115,Female,1,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.71,206.62,No
C00116,Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.16,108.62,No
C00117,Female,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),28.61,405.29,No
C00118,Male,0,No,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,67.25, ,Yes
C00119,Female,0,Yes,No,16,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,65.69,987.85,Yes
C00120,Female,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,22.69,1260.69,No
C00121,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.02,102.46,Yes
C00122,Male,1,No,No,72,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,60.43,4179.43,No
C00123,Male,1,No,No,66,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,57.32,3649.17,No
C00124,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,708.64,No
C00125,Male,1,No,No,6,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,65.16,396.06,Yes
C00126,Male,0,Yes,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),83.55,3667.69,No
C00127,Male,0,No,No,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,99.72,1287.08,No
C00128,Male,1,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,852.45,No
C00129,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),95.41,489.09,Yes
C00130,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),79.64,209.64,No
C00131,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.46,255.88,No
C00132,Female,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,56.46,53.93,Yes
C00133,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),96.87,6603.13,No
C00134,Female,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.71,757.04,No
C00135,Male,0,Yes,No,1,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.4,73.19,Yes
C00136,Female,0,No,Yes,14,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),83.67,1100.6,No
C00137,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.51,63.49,Yes
C00138,Female,0,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.5,1217.23,No
C00139,Male,0,No,No,45,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),72.92,3010.85,No
C00140,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),68.55,61.65,Yes
C00141,Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),89.65,4217.19,No
C00142,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.06,2138.95,No
C00143,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.16,456.75,Yes
C00144,Male,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.03,636.33,Yes
C00145,Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.41,130.96,No
C00146,Male,0,Yes,Yes,0,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,46.69, ,No
C00147,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,75.09,4728.07,No
C00148,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.89,261.49,Yes
C00149,Male,0,No,Yes,50,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.4,2521.37,No
C00150,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.56,117.64,Yes
C00151,Female,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,73.15,133.56,Yes
C00152,Male,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),85.3,879.7,Yes
C00153,Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),68.87,656.05,Yes
C00154,Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.1,273.58,No
C00155,Female,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),96.64,5460.57,No
C00156,Male,1,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,856.35,No
C00157,Female,1,No,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,87.14,689.12,No
C00158,Female,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.25,6280.39,No
C00159,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.17,1121.48,Yes
C00160,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,94.29,4548.13,No
C00161,Female,0,No,No,17,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.28,1115.22,No
C00162,Male,0,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,89.2,5217.44,No
C00163,Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,85.67,4029.72,Yes
C00164,Female,1,Yes,Yes,3,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60.26,166.78,Yes
C00165,Male,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.79,1068.49,No
C00166,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),92.84,2453.1,No
C00167,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,89.84,239.01,Yes
C00168,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.86,1617.99,Yes
C00169,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.93,1883.39,Yes
C00170,Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.88,162.44,Yes
C00171,Female,0,Yes,No,66,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.63,3473.89,No
C00172,Male,0,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.69,101.34,No
C00173,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),59.76,3828.93,Yes
C00174,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.86,52.27,Yes
C00175,Male,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,59.89,275.14,Yes
C00176,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),88.84,1271.55,Yes
C00177,Female,1,No,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.3,161.37,Yes
C00178,Female,1,No,Yes,36,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),74.62,2398.58,No
